a52dec 0.8.0-2
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.10.0-1
libxkbcommon-x11 1.10.0-1
libxkbfile 1.1.3-1
libxml2 2.14.5-1
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.24.26-1
linux 6.15.8.arch1-1
linux-api-headers 6.15-1
linux-firmware 20250708-1
linux-firmware-amdgpu 20250708-1
linux-firmware-atheros 20250708-1
linux-firmware-broadcom 20250708-1
linux-firmware-cirrus 20250708-1
linux-firmware-intel 20250708-1
linux-firmware-mediatek 20250708-1
linux-firmware-nvidia 20250708-1
linux-firmware-other 20250708-1
linux-firmware-radeon 20250708-1
linux-firmware-realtek 20250708-1
linux-firmware-whence 20250708-1
linux-headers 6.15.8.arch1-1
llhttp 9.2.1-2
llvm-libs 20.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-1
lua 5.4.8-2
lua-language-server 3.15.0-1
lua51-lpeg 1.1.0-3
luajit 2.1.1753364724-1
luarocks 3.12.2-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m17n-db 1.8.8-1
m17n-lib 1.8.5-1
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
man-pages 6.15-1
mariadb 11.8.2-1
mariadb-clients 11.8.2-1
mariadb-connector-odbc 3.2.6-1
mariadb-connector-odbc-debug 3.2.6-1
mariadb-libs 11.8.2-1
md4c 0.5.2-1
mdadm 4.4-1
media-player-info 26-1
mesa 1:25.1.6-1
mesa-utils 9.0.0-7
meson 1.8.2-2
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20250613-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.0-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtpfs 1.1-5
nasm 2.16.03-2
ncurses 6.5-4
neofetch 7.1.0-2
neovim 0.11.3-1
net-tools 2.10-3
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.52.1-1
nginx 1.28.0-4
ninja 1.12.1-2
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-1
node-gyp 11.2.0-1
nodejs-lts-jod 22.17.1-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
npm 11.5.1-1
npth 1.8-1
nspr 4.37-1
nss 3.114-1
nwg-look 1.0.6-1
ocl-icd 2.3.3-1
oh-my-zsh-git r7471.db32c6ccc-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencore-amr 0.1.6-2
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.1-1
openssl-1.1 1.1.1.w-2
opus 1.5.2-1
orc 0.4.41-1
ostree 2025.4-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.12.0-1
pacman-mirrorlist 20250702-2
pahole 1:1.30-2
pam 1.7.1-1
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.4-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20250722-2
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.42.0-1
perl-error 0.17030-2
perl-json 4.10-2
perl-mailtools 2.22-2
perl-timedate 2.33-8
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
php 8.4.10-1
phpmyadmin 5.2.2-1
pinentry 1.3.1-5
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
pipewire-audio 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.4.3-1
playerctl 2.4.1-4
pnpm 10.13.1-1
pokemon-colorscripts-git r114.5802ff67-1
polkit 126-2
polkit-gnome 0.105-11
polkit-qt6 0.200.0-1
poppler 25.07.0-1
poppler-qt6 25.07.0-1
popt 1.19-2
portaudio 1:19.7.0-3
postman-bin 11.52.5-1
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protobuf 31.1-1
proton-ge-custom-bin 1:GE_Proton10_10-1
psmisc 23.7-1
pugixml 1.15-2
pulseaudio-alsa 1:1.2.12-4
pyenv 1:2.6.5-1
python 3.13.5-1
python-autocommand 2.2.2-7
python-bcrypt 4.3.0-1
python-boto3 1.39.9-1
python-botocore 1.39.9-1
python-bottle 0.13.2-1
python-build 1.2.2-3
python-cairo 1.28.0-1
python-certifi 2025.07.14-1
python-cffi 1.17.1-2
python-colorlog 6.9.0-1
python-coverage 7.10.0-1
python-cryptography 45.0.5-1
python-dateutil 2.9.0-6
python-docopt 0.6.2-14
python-fastjsonschema 2.21.1-1
python-gobject 3.52.3-3
python-inflect 7.5.0-1
python-iniconfig 2.1.0-1
python-installer 0.7.0-10
python-jaraco.collections 5.1.0-1
